trade_date,open,high,low,close,vol,turnover_rate,volume_ratio,pe,pb,ps,total_mv,dv_ratio,trade_date,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
2021-12-31,4.63,4.65,4.63,4.63,959022.15,0.0356,0.73,5.2236,0.5857,1.8695,165016097.0322,5.676,20211231,1.971,9.12573,4.08127,9.12573,4.08127,9.16515,4.0989,9.12573,4.08127,9.14544,4.09009,0.002,0.001,0.003,59.254,67.831,42.099,39.946,46.556,47.692,4.125,4.091,4.056,2.003
2022-01-04,4.64,4.67,4.63,4.67,1688756.35,0.0626,1.35,5.2687,0.5908,1.8857,166441722.0606,5.6959,20220104,1.971,9.14544,4.09009,9.20457,4.11653,9.20457,4.11653,9.12573,4.08127,9.12573,4.08127,0.004,0.001,0.005,66.169,67.277,63.953,61.555,57.239,52.694,4.128,4.092,4.056,75.783
2022-01-05,4.66,4.72,4.65,4.71,2839546.21,0.1053,2.02,5.3138,0.5959,1.9018,167867347.0889,5.6476,20220105,1.971,9.18486,4.10772,9.28341,4.15179,9.30312,4.16061,9.16515,4.0989,9.20457,4.11653,0.008,0.003,0.011,73.742,69.432,82.363,73.149,64.894,56.986,4.139,4.094,4.05,196.038
2022-01-06,4.7,4.73,4.68,4.7,1903143.59,0.0706,1.21,5.3026,0.5946,1.8978,167510940.8318,5.6596,20220106,1.971,9.2637,4.14298,9.2637,4.14298,9.32283,4.16942,9.22428,4.12535,9.28341,4.15179,0.01,0.004,0.013,72.495,70.453,76.579,67.08,61.873,55.668,4.146,4.097,4.048,188.034
2022-01-07,4.69,4.75,4.68,4.74,1939649.55,0.0719,1.1,5.3477,0.5997,1.9139,168936565.8602,5.6118,20220107,1.971,9.24399,4.13416,9.34254,4.17824,9.36225,4.18705,9.22428,4.12535,9.2637,4.14298,0.015,0.006,0.017,78.886,73.264,90.129,76.456,68.31,59.57,4.161,4.101,4.04,195.046
2022-01-10,4.74,4.76,4.72,4.75,1583293.03,0.0587,0.85,5.359,0.6009,1.918,169292972.1173,5.6,20220110,1.971,9.34254,4.17824,9.36225,4.18705,9.38196,4.19587,9.30312,4.16061,9.34254,4.17824,0.019,0.009,0.02,83.36,76.629,96.82,78.309,69.705,60.477,4.176,4.105,4.034,182.609
2022-01-11,4.73,4.77,4.73,4.75,1670262.97,0.062,0.84,5.359,0.6009,1.918,169292972.1173,5.6,20220111,1.971,9.32283,4.16942,9.36225,4.18705,9.40167,4.20468,9.32283,4.16942,9.36225,4.18705,0.022,0.012,0.021,84.144,79.134,94.165,78.309,69.705,60.477,4.189,4.11,4.031,148.507
2022-01-12,4.75,4.75,4.7,4.72,1857315.19,0.0689,0.93,5.3251,0.5971,1.9059,168223753.346,5.6356,20220112,1.971,9.36225,4.18705,9.30312,4.16061,9.36225,4.18705,9.2637,4.14298,9.36225,4.18705,0.022,0.014,0.017,77.525,78.598,75.379,58.437,60.238,56.346,4.194,4.114,4.035,78.841
2022-01-13,4.71,4.78,4.71,4.73,1793135.0,0.0665,1.0,5.3364,0.5984,1.9099,168580159.6031,5.6237,20220113,1.971,9.28341,4.15179,9.32283,4.16942,9.42138,4.2135,9.28341,4.15179,9.30312,4.16061,0.023,0.015,0.014,73.905,77.034,67.649,62.267,62.109,57.359,4.199,4.12,4.04,93.86
2022-01-14,4.74,4.74,4.67,4.68,2251970.35,0.0835,1.27,5.28,0.5921,1.8897,166798128.3177,5.6838,20220114,1.971,9.34254,4.17824,9.22428,4.12535,9.34254,4.17824,9.20457,4.11653,9.32283,4.16942,0.019,0.016,0.006,60.381,71.483,38.178,40.097,49.422,51.164,4.199,4.122,4.046,8.938
